family,rank,map,map_scale,validation_elbo,normalized_gradient,adam_steps,lbfgs_iterations,wall_time_seconds,plateau_passed,gradient_passed,independent_elbo_1,independent_elbo_1_se,independent_elbo_2,independent_elbo_2_se,independent_agreement_passed,converged,failure_reason,initialization,selected,experiment,case,data_seed,m_constraints,derivative_scale,restart
rank2,2,softplus,1.0,-1.2535410444174175,0.0014079368119131637,8000,69,11.078200000105426,True,True,-1.2355685407777692,0.010932607355042825,-1.2659554768084325,0.012935570936375101,True,True,,independent,True,map,log,2,5,0.05433071537750141,0
rank2,2,softplus,1.0,-1.3107052674257338,0.0004909101149324482,8000,76,9.88748629996553,True,True,-1.301089212347566,0.012243284151073824,-1.308941695954055,0.011791167890466865,True,True,,independent,False,map,log,2,5,0.05433071537750141,1
rank2,2,softplus,1.0,-1.3079382834866402,0.000551464172151043,8000,75,10.890086099971086,True,True,-1.2802176983317235,0.010631211101521177,-1.308211159995918,0.012252686641923654,True,True,,independent,False,map,log,2,5,0.05433071537750141,2
rank2,2,exp,1.0,-1.0967402655636027,0.0004252400074121785,8000,135,7.666805099928752,True,True,-1.0968160067443584,0.009323005808172987,-1.0969695610188774,0.00950524807566562,True,True,,independent,True,map,log,2,5,0.05433071537750141,0
rank2,2,exp,1.0,-1.0971053171593599,0.0005856727358465523,8000,175,8.411624800181016,True,True,-1.0997957501253275,0.011338785449800758,-1.1021099649543624,0.009799714440280952,True,True,,independent,False,map,log,2,5,0.05433071537750141,1
rank2,2,exp,1.0,-1.0967958272598568,0.0009378943803798288,8000,144,7.343092700000852,True,True,-1.107611660283323,0.010276491353628393,-1.079659673882781,0.009541558657747723,True,True,,independent,False,map,log,2,5,0.05433071537750141,2
rank2,2,squareplus,0.013582678844375352,-1.142227787454054,0.0001275920661957711,2200,56,4.297550299903378,True,True,-1.1503655952683065,0.009202133013811835,-1.161006955523792,0.009203433703259798,True,True,,independent,False,map,log,2,5,0.05433071537750141,0
rank2,2,squareplus,0.013582678844375352,-1.1419596248562849,0.0001464865480687307,1600,61,2.5884168001357466,True,True,-1.1404665599610082,0.009077058511234793,-1.1525953136145488,0.009060287169354581,True,True,,independent,True,map,log,2,5,0.05433071537750141,1
rank2,2,squareplus,0.013582678844375352,-1.1427952982536969,5.974506621063359e-05,1600,52,2.999373000115156,True,True,-1.1306182668056786,0.008637352552301485,-1.1248448990921318,0.009197316085933296,True,True,,independent,False,map,log,2,5,0.05433071537750141,2
rank2,2,softplus,1.0,-37.35525951147682,0.36494140209598,8000,500,52.61834749998525,True,False,-37.31330470124317,0.029262118135447903,-37.39667460721745,0.02951080072977276,True,False,normalized_gradient,independent,False,map,log,3,20,0.04693355640065608,0
rank2,2,softplus,1.0,-37.399951085448464,2.6919040555581577,7000,500,46.22682390012778,True,False,-37.43067991937702,0.028987697721239422,-37.35843103926106,0.029269551742846622,True,False,normalized_gradient,independent,False,map,log,3,20,0.04693355640065608,1
rank2,2,softplus,1.0,-37.442009307312574,0.7139758789614734,8000,500,53.07479609991424,True,False,-37.447737902193346,0.03025232302855061,-37.43421355493949,0.029797656201558425,True,False,normalized_gradient,independent,False,map,log,3,20,0.04693355640065608,2
rank2,2,exp,1.0,-37.72005037454895,0.6437010048553162,8000,500,33.02365420013666,True,False,-37.68753543867548,0.029612076633447663,-37.7107666120274,0.030384349056610055,True,False,normalized_gradient,independent,False,map,log,3,20,0.04693355640065608,0
rank2,2,exp,1.0,-37.64129553407088,1.5256420229067873,8000,500,30.582426799926907,True,False,-37.661559485194324,0.029497335609229708,-37.62375606650813,0.029360454467511496,True,False,normalized_gradient,independent,False,map,log,3,20,0.04693355640065608,1
rank2,2,exp,1.0,-37.64871599340529,0.3030910125361014,8000,500,35.06922630011104,True,False,-37.61908972610759,0.029740230520420897,-37.597826710352905,0.030008010211777764,True,False,normalized_gradient,independent,False,map,log,3,20,0.04693355640065608,2
rank2,2,squareplus,0.01173338910016402,-35.917026222449834,0.2725188876773436,8000,500,61.162292500026524,True,False,-35.888240821730285,0.02930001049405801,-35.868427492725594,0.029153456412960962,True,False,normalized_gradient,independent,False,map,log,3,20,0.04693355640065608,0
rank2,2,squareplus,0.01173338910016402,-35.93045506307641,0.11748676868804321,8000,500,57.00449980003759,True,False,-35.86280226353222,0.028809770758861455,-36.03383136851913,0.1351118077230516,True,False,normalized_gradient,independent,False,map,log,3,20,0.04693355640065608,1
rank2,2,squareplus,0.01173338910016402,-35.97457747851351,0.1666960140558868,7600,500,46.95743379998021,True,False,-35.957645311329,0.02942768541386053,-35.917179545736474,0.02921008325149712,True,False,normalized_gradient,independent,False,map,log,3,20,0.04693355640065608,2
rank2,2,softplus,1.0,-0.19966745292368548,0.0002350176651697395,2800,38,3.87654189998284,True,True,-0.1903544232787117,0.006434648009778864,-0.19966492810458966,0.006740331868092512,True,True,,independent,True,map,log,3,5,0.0470225328528657,0
rank2,2,softplus,1.0,-0.19967015141771594,0.00010335231679554788,2200,62,4.167225999990478,True,True,-0.19830947700933232,0.006558812540426923,-0.2003382694644772,0.006534597382232345,True,True,,independent,False,map,log,3,5,0.0470225328528657,1
rank2,2,softplus,1.0,-0.20039112113124524,0.0002932468863232332,2000,53,3.6335802997928113,True,True,-0.1910593032187165,0.006288543446203359,-0.19069305086425403,0.006768962305560074,True,True,,independent,False,map,log,3,5,0.0470225328528657,2
rank2,2,exp,1.0,-0.23871723781378318,0.0002741840532895017,1000,148,2.2410991999786347,True,True,-0.2377326411325527,0.00767272418496397,-0.23892168386829343,0.0072006462028075474,True,True,,independent,True,map,log,3,5,0.0470225328528657,0
rank2,2,exp,1.0,-0.2387854583339042,0.00022302142973328076,800,144,2.3760294001549482,True,True,-0.2323030258872397,0.007032136505095805,-0.2320258846457501,0.007551293548513497,True,True,,independent,False,map,log,3,5,0.0470225328528657,1
