m_constraints,family,component,repeat,value,unit,batch_size,iterations
20,rank4,1000_iterations,2,0.40439989999867976,seconds,8,1000
20,rank4,1000_iterations,3,0.3560585000086576,seconds,8,1000
20,rank4,1000_iterations,4,0.39164000004529953,seconds,8,1000
20,rank4,1000_iterations,5,0.3577084999997169,seconds,8,1000
20,rank4,1000_iterations,6,0.39130520005710423,seconds,8,1000
20,rank4,10000_samples,0,0.018706899834796786,seconds,10000,1
20,rank4,10000_samples,1,0.02132020005956292,seconds,10000,1
20,rank4,10000_samples,2,0.013972099870443344,seconds,10000,1
20,rank4,10000_samples,3,0.013021699851378798,seconds,10000,1
20,rank4,10000_samples,4,0.016253799898549914,seconds,10000,1
20,rank4,10000_samples,5,0.017029300099238753,seconds,10000,1
20,rank4,10000_samples,6,0.015635599847882986,seconds,10000,1
20,rank4,peak_memory,0,83.1171875,MiB_peak_RSS,512,20
20,rank4,peak_memory,1,83.1171875,MiB_peak_RSS,512,20
20,rank4,peak_memory,2,83.1171875,MiB_peak_RSS,512,20
20,rank4,peak_memory,3,83.1171875,MiB_peak_RSS,512,20
20,rank4,peak_memory,4,83.1171875,MiB_peak_RSS,512,20
20,rank4,peak_memory,5,83.1171875,MiB_peak_RSS,512,20
20,rank4,peak_memory,6,83.1171875,MiB_peak_RSS,512,20
20,rank8,objective_gradient,0,0.003720100037753582,seconds,512,1
20,rank8,objective_gradient,1,0.002742100041359663,seconds,512,1
20,rank8,objective_gradient,2,0.0025476000737398863,seconds,512,1
20,rank8,objective_gradient,3,0.0025924998335540295,seconds,512,1
20,rank8,objective_gradient,4,0.0025031999684870243,seconds,512,1
20,rank8,objective_gradient,5,0.002591300057247281,seconds,512,1
20,rank8,objective_gradient,6,0.0028098998591303825,seconds,512,1
20,rank8,1000_iterations,0,0.4370601999107748,seconds,8,1000
20,rank8,1000_iterations,1,0.3529580000322312,seconds,8,1000
20,rank8,1000_iterations,2,0.44726979988627136,seconds,8,1000
20,rank8,1000_iterations,3,0.46857269993051887,seconds,8,1000
20,rank8,1000_iterations,4,0.4472956000827253,seconds,8,1000
20,rank8,1000_iterations,5,0.47232790011912584,seconds,8,1000
20,rank8,1000_iterations,6,0.44420650019310415,seconds,8,1000
20,rank8,10000_samples,0,0.01902240002527833,seconds,10000,1
20,rank8,10000_samples,1,0.01805500010959804,seconds,10000,1
20,rank8,10000_samples,2,0.018498099874705076,seconds,10000,1
20,rank8,10000_samples,3,0.01776429987512529,seconds,10000,1
20,rank8,10000_samples,4,0.015726299956440926,seconds,10000,1
20,rank8,10000_samples,5,0.03200230002403259,seconds,10000,1
