benchmark,conditional_clipped_eigenvalues,conditional_jitter,conditional_min_eigenvalue_raw,data_seed,delta,delta_ratio,derivative_covariance_jitter,derivative_support_violation,fit_source,loglog_mse_slope,mae,mse,opt_seed,pearson_correlation,run_id,sampling_implementation,sign_agreement,status
sigmoid,0,0.0,3.098051545864759e-11,13,0.25,0.025,1e-10,0.0,finite_difference_optimization,3.9385886708892843,0.011362355586130045,0.0005948560594535245,2,0.9997451410087352,finite_difference_sigmoid_data13_opt2,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,0.99786,completed
sigmoid,0,0.0,7.274920358229344e-11,13,0.125,0.0125,1e-10,0.0,finite_difference_optimization,3.9385886708892843,0.0028827627616112854,3.812731003011074e-05,2,0.9999841326444178,finite_difference_sigmoid_data13_opt2,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
sigmoid,0,0.0,8.993130905789196e-11,13,0.0625,0.00625,1e-10,0.0,finite_difference_optimization,3.9385886708892843,0.0007238546392724162,2.3985316502390647e-06,2,0.999999008973734,finite_difference_sigmoid_data13_opt2,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
sigmoid,0,0.0,4.3289370434713634e-13,13,0.5,0.05,1e-10,0.0,finite_difference_optimization,3.9374549863772303,0.04321196707238834,0.008689906834610267,3,0.9958807020847095,finite_difference_sigmoid_data13_opt3,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,0.98236,completed
sigmoid,0,0.0,3.098051545864759e-11,13,0.25,0.025,1e-10,0.0,finite_difference_optimization,3.9374549863772303,0.011425476716121184,0.000602026912284896,3,0.9997449882685944,finite_difference_sigmoid_data13_opt3,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,0.99809,completed
sigmoid,0,0.0,7.274920358229344e-11,13,0.125,0.0125,1e-10,0.0,finite_difference_optimization,3.9374549863772303,0.0029001922226437513,3.861612990817434e-05,3,0.9999841097978652,finite_difference_sigmoid_data13_opt3,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
sigmoid,0,0.0,8.993130905789196e-11,13,0.0625,0.00625,1e-10,0.0,finite_difference_optimization,3.9374549863772303,0.0007280023111470047,2.4302856084779546e-06,3,0.9999990076639395,finite_difference_sigmoid_data13_opt3,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,1.0,completed
sigmoid,0,0.0,4.3289370434713634e-13,13,0.5,0.05,1e-10,0.0,finite_difference_optimization,3.936508065631586,0.043439594276381825,0.00884257824089227,4,0.9958584449559211,finite_difference_sigmoid_data13_opt4,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,0.98096,completed
sigmoid,0,0.0,3.098051545864759e-11,13,0.25,0.025,1e-10,0.0,finite_difference_optimization,3.936508065631586,0.011503385993742902,0.0006144581410054593,4,0.9997429715175358,finite_difference_sigmoid_data13_opt4,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,0.99775,completed
sigmoid,0,0.0,7.274920358229344e-11,13,0.125,0.0125,1e-10,0.0,finite_difference_optimization,3.936508065631586,0.0029189498311759654,3.9402099333687136e-05,4,0.9999839924387279,finite_difference_sigmoid_data13_opt4,centered-difference linear functional; distributionally equivalent to joint endpoint sampling,0.99999,completed
